,NGH_Name,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Latitude,Longitude,Preschool,Kindergarten,Gr7-9,Gr10-12,Post-Secondary,Homemaker,Employed 0-30,Employed 30+,Unemployed,Retired,Permanently Unemployed,Employment_No Response,Income_Less than $30K,Income_30K to less than 60K,Income_60K to less than 100K,Income_100K to less than 125K,Income_125K to less than 150K,Income_150K to less than 200K,Income_200K to less than 250K,Income_250K or more,Income_No Response
124,KILLARNEY,38,31,0,8,4,64,30,4,53.588489,-113.47956799999999,265.0,262.0,97.0,70.0,66.0,196.0,145.0,1052.0,244.0,310.0,63.0,1582.0,179.0,284.0,216.0,64.0,29.0,11.0,4.0,2.0,905.0
125,KING EDWARD PARK,33,50,0,6,2,77,45,3,53.515151,-113.45057,171.0,169.0,100.0,73.0,114.0,79.0,226.0,1465.0,210.0,360.0,59.0,1222.0,133.0,239.0,282.0,104.0,87.0,67.0,26.0,17.0,963.0
126,KINISKI GARDENS,12,11,0,1,1,25,21,0,53.475924,-113.40330300000001,246.0,342.0,190.0,169.0,168.0,160.0,313.0,2025.0,254.0,349.0,57.0,1807.0,72.0,238.0,424.0,209.0,121.0,101.0,42.0,30.0,953.0
127,KIRKNESS,14,16,0,1,3,39,14,1,53.611416,-113.388399,216.0,281.0,98.0,115.0,102.0,104.0,217.0,1378.0,218.0,277.0,66.0,915.0,94.0,179.0,186.0,78.0,46.0,44.0,15.0,4.0,835.0
128,KLARVATTEN,5,8,0,0,1,51,19,2,53.637224,-113.476665,326.0,454.0,160.0,127.0,173.0,170.0,200.0,1775.0,167.0,240.0,25.0,1913.0,40.0,123.0,259.0,198.0,171.0,139.0,51.0,22.0,858.0
129,LA PERLE,16,23,0,1,1,36,25,1,53.533088000000006,-113.640709,210.0,288.0,132.0,113.0,129.0,149.0,272.0,1321.0,172.0,454.0,63.0,1544.0,229.0,293.0,282.0,129.0,76.0,64.0,23.0,12.0,845.0
130,LAGO LINDO,9,14,0,0,2,33,11,0,53.636039,-113.484647,125.0,217.0,80.0,68.0,105.0,94.0,184.0,1102.0,117.0,393.0,24.0,1424.0,53.0,147.0,236.0,115.0,77.0,87.0,25.0,15.0,614.0
131,LANSDOWNE,1,8,0,0,0,12,3,0,53.486625,-113.545997,52.0,89.0,39.0,29.0,71.0,26.0,97.0,426.0,50.0,206.0,10.0,146.0,27.0,52.0,66.0,28.0,19.0,37.0,21.0,33.0,235.0
132,LARKSPUR,12,13,0,2,1,33,22,0,53.48020999999999,-113.38124,244.0,394.0,166.0,181.0,219.0,179.0,277.0,1981.0,242.0,397.0,48.0,786.0,80.0,253.0,339.0,186.0,94.0,105.0,40.0,30.0,594.0
133,LAUDERDALE,26,26,0,1,3,47,28,1,53.588449,-113.504256,179.0,186.0,72.0,29.0,41.0,59.0,101.0,497.0,99.0,247.0,45.0,1354.0,88.0,137.0,100.0,40.0,21.0,18.0,3.0,4.0,782.0
134,LAUREL,14,22,1,1,1,29,26,6,53.44579900000001,-113.38147,363.0,406.0,177.0,130.0,116.0,163.0,211.0,1465.0,196.0,117.0,9.0,3698.0,27.0,189.0,296.0,139.0,63.0,41.0,14.0,6.0,1380.0
135,LAURIER HEIGHTS,4,18,0,2,0,12,4,1,53.514255,-113.569332,86.0,192.0,76.0,72.0,108.0,76.0,176.0,813.0,43.0,566.0,14.0,612.0,35.0,103.0,113.0,88.0,66.0,88.0,62.0,92.0,568.0
136,LEE RIDGE,16,5,0,3,3,15,9,0,53.469593,-113.444355,69.0,104.0,63.0,45.0,38.0,36.0,105.0,407.0,90.0,234.0,26.0,1495.0,95.0,110.0,94.0,29.0,11.0,19.0,2.0,2.0,623.0
137,LEGER,5,7,0,3,1,10,4,1,53.457691,-113.577422,55.0,173.0,109.0,82.0,95.0,54.0,116.0,631.0,59.0,190.0,8.0,890.0,14.0,43.0,73.0,52.0,29.0,49.0,33.0,24.0,471.0
138,LENDRUM PLACE,3,19,0,1,0,31,8,1,53.49320000000001,-113.522806,74.0,68.0,30.0,37.0,48.0,42.0,102.0,457.0,37.0,251.0,8.0,566.0,19.0,34.0,63.0,45.0,33.0,38.0,15.0,15.0,557.0
139,LORELEI,15,14,0,0,2,39,15,0,53.62459299999999,-113.50446600000001,282.0,309.0,123.0,91.0,123.0,164.0,169.0,1255.0,179.0,448.0,47.0,944.0,166.0,352.0,274.0,89.0,52.0,41.0,10.0,6.0,425.0
140,LYMBURN,22,20,0,2,2,41,13,0,53.507532000000005,-113.6423,244.0,360.0,162.0,163.0,183.0,161.0,391.0,1967.0,235.0,447.0,64.0,1315.0,141.0,346.0,418.0,227.0,136.0,115.0,41.0,21.0,682.0
141,LYNNWOOD,16,26,1,1,1,50,11,1,53.51570100000001,-113.58990900000002,103.0,166.0,70.0,29.0,51.0,38.0,161.0,887.0,228.0,320.0,39.0,1188.0,70.0,159.0,161.0,58.0,45.0,45.0,15.0,6.0,816.0
